,State,CD,Session,black_vap_frac,hispanic_vap_frac,total_minority_vap_frac,max_minority_vap_frac,Ethnicity,Name,Delegate,BRep,HRep,MRep,const
106,12,20,113,0.490377437912165,0.18971049062251533,0.6800879285346804,0.490377437912165,B,"HASTINGS, Alcee Lamar",0.0,1,0,1,1
542,12,20,114,0.4972499501802569,0.19727893621261253,0.6945288863928694,0.4972499501802569,B,"HASTINGS, Alcee Lamar",0.0,1,0,1,1
979,12,20,115,0.5097278928281803,0.2340592099027211,0.7437871027309014,0.5097278928281803,B,"HASTINGS, Alcee Lamar",0.0,1,0,1,1
107,12,21,113,0.10454604861897708,0.1846519125206936,0.2891979611396707,0.1846519125206936,,,,0,0,0,1
543,12,21,114,0.11288720962579273,0.1954226777986316,0.30830988742442433,0.1954226777986316,,,,0,0,0,1
980,12,21,115,0.13778578815780226,0.20046422271980294,0.3382500108776052,0.20046422271980294,,,,0,0,0,1
108,12,22,113,0.09800306794618817,0.17706061701343911,0.2750636849596273,0.17706061701343911,,,,0,0,0,1
544,12,22,114,0.10317130917113776,0.19326955875903395,0.2964408679301717,0.19326955875903395,,,,0,0,0,1
981,12,22,115,0.13132347147345347,0.19145264320518304,0.3227761146786365,0.19145264320518304,,,,0,0,0,1
109,12,23,113,0.10280032525941596,0.3664781313414792,0.4692784566008952,0.3664781313414792,,,,0,0,0,1
545,12,23,114,0.10540409085441432,0.3779132911800649,0.4833173820344792,0.3779132911800649,,,,0,0,0,1
982,12,23,115,0.12961633278284387,0.3476067385380231,0.4772230713208669,0.3476067385380231,,,,0,0,0,1
110,12,24,113,0.5356526700708794,0.3270762131121944,0.8627288831830737,0.5356526700708794,B,"WILSON, Frederica",0.0,1,0,1,1
546,12,24,114,0.5358165876242507,0.3292046864933921,0.8650212741176428,0.5358165876242507,B,"WILSON, Frederica",0.0,1,0,1,1
983,12,24,115,0.4878809052239682,0.3800024866865952,0.8678833919105633,0.4878809052239682,B,"WILSON, Frederica",0.0,1,0,1,1
111,12,25,113,0.06869672812382369,0.7121017304158886,0.7807984585397123,0.7121017304158886,H,"DIAZ-BALART, Mario",0.0,0,1,1,1
547,12,25,114,0.07142399396181273,0.7122924818160133,0.7837164757778261,0.7122924818160133,H,"DIAZ-BALART, Mario",0.0,0,1,1,1
984,12,25,115,0.04724401457409343,0.7557266241081487,0.8029706386822422,0.7557266241081487,H,"DIAZ-BALART, Mario",0.0,0,1,1,1
112,12,26,113,0.10267148580355663,0.674533687940104,0.7772051737436607,0.674533687940104,H,"GARCIA, Joe",0.0,0,1,1,1
548,12,26,114,0.09793002122966923,0.6852520894192292,0.7831821106488984,0.6852520894192292,H,"CURBELO, Carlos",0.0,0,1,1,1
985,12,26,115,0.11248569468626066,0.6932940734286066,0.8057797681148673,0.6932940734286066,H,"CURBELO, Carlos",0.0,0,1,1,1
113,12,27,113,0.07057242841267869,0.7453744477523769,0.8159468761650557,0.7453744477523769,H,"ROS-LEHTINEN, Ileana",0.0,0,1,1,1
549,12,27,114,0.07119935924382467,0.7508524098417657,0.8220517690855904,0.7508524098417657,H,"ROS-LEHTINEN, Ileana",0.0,0,1,1,1
986,12,27,115,0.05326669957495304,0.7061278983862792,0.7593945979612322,0.7061278983862792,H,"ROS-LEHTINEN, Ileana",0.0,0,1,1,1
114,13,1,113,0.2831659125217468,0.05276968433328666,0.33593559685503344,0.2831659125217468,,,,0,0,0,1
550,13,1,114,0.2835381614923061,0.05596147924190252,0.33949964073420863,0.2835381614923061,,,,0,0,0,1
987,13,1,115,0.28515922137763844,0.057670663390484114,0.3428298847681225,0.28515922137763844,,,,0,0,0,1
115,13,2,113,0.4914581126220786,0.037422980214623,0.5288810928367017,0.4914581126220786,B,"BISHOP, Sanford Dixon, Jr.",0.0,1,0,1,1
551,13,2,114,0.4937747659794406,0.04187293018625931,0.5356476961657001,0.4937747659794406,B,"BISHOP, Sanford Dixon, Jr.",0.0,1,0,1,1
988,13,2,115,0.4975785921724836,0.04251965165644337,0.540098243828927,0.4975785921724836,B,"BISHOP, Sanford Dixon, Jr.",0.0,1,0,1,1
116,13,3,113,0.2209391824761336,0.04499365788719286,0.2659328403633265,0.2209391824761336,,,,0,0,0,1
552,13,3,114,0.2253847944646081,0.047192422039286634,0.2725772165038947,0.2253847944646081,,,,0,0,0,1
989,13,3,115,0.23051865766208984,0.047359750734230814,0.27787840839632066,0.23051865766208984,,,,0,0,0,1
117,13,4,113,0.5529278617778248,0.08399025677776603,0.6369181185555909,0.5529278617778248,B,"JOHNSON, Hank",0.0,1,0,1,1
553,13,4,114,0.5657065114869925,0.07952005579151351,0.645226567278506,0.5657065114869925,B,"JOHNSON, Hank",0.0,1,0,1,1
990,13,4,115,0.5782337879848968,0.07688502540046023,0.6551188133853569,0.5782337879848968,B,"JOHNSON, Hank",0.0,1,0,1,1
118,13,5,113,0.5679324094450289,0.06676463456212545,0.6346970440071543,0.5679324094450289,B,"LEWIS, John R.",0.0,1,0,1,1
554,13,5,114,0.5655264806549463,0.06549462529244993,0.6310211059473962,0.5655264806549463,B,"LEWIS, John R.",0.0,1,0,1,1
991,13,5,115,0.564258188659442,0.058899695245869875,0.6231578839053119,0.564258188659442,B,"LEWIS, John R.",0.0,1,0,1,1
119,13,6,113,0.12208114981504314,0.11317817509247842,0.2352593249075216,0.12208114981504314,,,,0,0,0,1
555,13,6,114,0.12884914695084262,0.1074130753706724,0.236262222321515,0.12884914695084262,,,,0,0,0,1
992,13,6,115,0.13456855633009385,0.10317068029337152,0.23773923662346536,0.13456855633009385,,,,0,0,0,1
120,13,7,113,0.16956775062816354,0.16091507552124426,0.3304828261494078,0.16956775062816354,,,,0,0,0,1
556,13,7,114,0.1795654242786771,0.1664634228569337,0.3460288471356108,0.1795654242786771,,,,0,0,0,1
993,13,7,115,0.1892953341813768,0.16795999373079598,0.35725532791217285,0.1892953341813768,,,,0,0,0,1
121,13,8,113,0.28590486625722056,0.048766375440923465,0.33467124169814394,0.28590486625722056,,,,0,0,0,1
557,13,8,114,0.2903432611988706,0.05098329932429493,0.3413265605231656,0.2903432611988706,,,,0,0,0,1
994,13,8,115,0.2934067085561597,0.053064806463805764,0.3464715150199655,0.2934067085561597,,,,0,0,0,1
122,13,9,113,0.06596657979457304,0.09108347386172007,0.1570500536562931,0.09108347386172007,,,,0,0,0,1
558,13,9,114,0.06699176099204916,0.0951817802469644,0.16217354123901356,0.0951817802469644,,,,0,0,0,1
995,13,9,115,0.06759339292682838,0.09694154804497594,0.16453494097180432,0.09694154804497594,,,,0,0,0,1
123,13,10,113,0.2400851526062319,0.04220789085881835,0.28229304346505024,0.2400851526062319,,,,0,0,0,1
559,13,10,114,0.24114238317809386,0.04334749356438048,0.28448987674247433,0.24114238317809386,,,,0,0,0,1
996,13,10,115,0.2435280466468061,0.046741380125637916,0.29026942677244405,0.2435280466468061,,,,0,0,0,1
124,13,11,113,0.1472920264684765,0.09416102303378418,0.2414530495022607,0.1472920264684765,,,,0,0,0,1
560,13,11,114,0.1545199562028468,0.09581939673921196,0.2503393529420588,0.1545199562028468,,,,0,0,0,1
997,13,11,115,0.1603941635551809,0.09408664609753943,0.25448080965272035,0.1603941635551809,,,,0,0,0,1
125,13,12,113,0.3296998471970388,0.04556148825845089,0.3752613354554897,0.3296998471970388,,,,0,0,0,1
561,13,12,114,0.3342473544550055,0.047244094488188976,0.3814914489431944,0.3342473544550055,,,,0,0,0,1
998,13,12,115,0.33743084405997137,0.04852383755805942,0.3859546816180308,0.33743084405997137,,,,0,0,0,1
126,13,13,113,0.5321785063898726,0.08547032598601825,0.6176488323758909,0.5321785063898726,B,"SCOTT, David",0.0,1,0,1,1
562,13,13,114,0.5482097968479299,0.08745441725376528,0.6356642141016952,0.5482097968479299,B,"SCOTT, David",0.0,1,0,1,1
999,13,13,115,0.5620689459647955,0.08716623730581896,0.6492351832706145,0.5620689459647955,B,"SCOTT, David",0.0,1,0,1,1
